             71             Voltios amperios por libra                                                  Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             72             Vatio por libra                                                             Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             73             Amperios por centímetro                                                     Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             76             Gauss                                                                       Unidades no recomendadas para su uso por la Oficina Internacional de                7/26/2017                                                                                     Gs                    
             77             Kilogauss                                                                   Unidades no recomendadas para su uso por la Oficina Internacional de                7/26/2017                                                                                     Ks                    
             84             Kilopound-force por pulgada cuadradUnidad de presión que define el número deUnidades no recomendadas para su uso por la Oficina Internacional de                7/26/2017                                                                                 Klbf / in²                
             90             Saybold segundo universal                                                   Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             92             Calorías por centímetro cúbico                                              Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             93             Calorías por gramo                 Utilice calorías de la tabla internacionaLas unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                                   Cal / g                 
             94             Unidad de curl                                                              Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             95             Veinte mil galones                                                          Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             96             Diez mil galones (US)                                                       Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             97             Diez kilos de tambor                                                        Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             98             Quince kilos de tambor                                                      Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             05             Ascensor                                                                    Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             06             Pequeño aerosol                                                             Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             08             Montón de calor                                                             Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             10             Grupos                             Una unidad de conteo que define el número                                                                                    1/1/2017                                                                   
             11             Equipos                             Unidad de recuento que define el número                                                                                     1/1/2017                                                                   
             13             Raciones                           Una unidad de recuento para definir el nú                                                                                    1/1/2017                                                                   
             14             Shot                               Unidad de medida para liquidos.                                                                                              1/1/2017                                                                   
             15             Palo, medida militar.              Unidad para el momento de rotación relaci                                                                                    1/1/2017                                                                   
             16             Tambor de 115 kilogramos                                                    Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             17             Tambor de cien libras                                                       Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             1A             Milla de carros                                                             Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             1B             Recuento de automóviles                                                     Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             1C             Conteo de locomotoras                                                       Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             1D             Caboose count                                                               Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             1E             Coche vacío                                                                 Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             1F             Milla de tren                                                               Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             1G             Galón del uso del combustible (los                                          Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             1H             Milla de caboose                                                            Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             1I              Tipo de interés fijo               Unidad de cantidad expresada como una ta                                                                                    1/1/2017                                                                   
             1J             Tonelada milla                                                              Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             1K             Milla locomotora                                                            Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             1L             Recuento total de automóviles                                               Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             1M             Milla total del coche                                                       Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             1X             Cuarto de milla                                                             Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             20              Contenedores de veinte pies        Unidad de conteo que define el número de                                                                                    1/1/2017                                                                   
             21              Contenedor de cuarenta pies        Unidad de conteo que define el número de                                                                                    1/1/2017                                                                   
             22             Decilitro por gramo                                                                                                                                             1/1/2017                                                                                     dl/g                   
             23             Gramo por centímetro cúbico                                                                                                                                     1/1/2017                                                                                     g/cm³                  
             24             Libra teórica                       Unidad de masa que define la masa espera                                                                                    1/1/2017                                                                   
             25             Gramo por centímetro cuadrado                                                                                                                                   1/1/2017                                                                                     g/cm²                  
             27             Tonelada teórica                   Unidad de masa que define la masa esperad                                                                                    1/1/2017                                                                   
             28             Kilogramo por metro cuadrado                                                                                                                                    1/1/2017                                                                                     kg/m²                  
             2A             Radián por segundo                 Es la velocidad de un cuerpo que, con una                                                                                    1/1/2017                                                                                     rad/s                  
             2B             Radián por segundo cuadrado        Es la aceleración angular de un cuerpo an                                                                                    1/1/2017                                                                                    rad/s²                  
             2C             Roentgen                                                                                                                                                        1/1/2017                                                                                       R                    
             2G             Voltios CA                          Una unidad de potencial eléctrico en rel                                                                                    1/1/2017                                                                                       V                    
             2H             Voltios CD                         Unidad de potencial eléctrico en relación                                                                                    1/1/2017                                                                                       V                    
             2I             Unidad térmica británica (tabla int                                                                                                                             1/1/2017                                                                                    BtuIT/h                 
             2J             Centímetro cúbico por segundo                                                                                                                                   1/1/2017                                                                                     cm³/s                  
             2K             Pie cúbico por hora                                                                                                                                             1/1/2017                                                                                     ft³/h                  
             2L             Pie cúbico por minuto                                                                                                                                           1/1/2017                                                                                    ft³/min                 
             2M             Centímetro por segundo                                                                                                                                          1/1/2017                                                                                     cm/s                   
             2N             Decibel                            Medida de sonoridad o sensación sonora qu                                                                                    1/1/2017                                                                                      dB                    
             2P             Kilobyte                            Unidad de información igual a 10 ³  (100                                                                                    1/1/2017                                                                                     kbyte                  
             2Q             Kilobecquerel                                                                                                                                                   1/1/2017                                                                                      kBq                   
             2R             Kilocurie                                                                                                                                                       1/1/2017                                                                                      kCi                   
             2U             Megagramo                                                                                                                                                       1/1/2017                                                                                      Mg                    
             2V             Megagrama por hora                                                          Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                                   Mg / h                  
             2X             Metro por minuto                                                                                                                                                1/1/2017                                                                                     m/min                  
             2Y             Milliroentgen                                                                                                                                                   1/1/2017                                                                                      mR                    
             2Z             Milivoltio                                                                                                                                                      1/1/2017                                                                                      mV                    
             33             Kilopascal por grtr                                                                                                                                             1/1/2017                                                                                   kPa·m²/g                 
             34             Kilopascal por milimetro                                                                                                                                        1/1/2017                                                                                    kPa/mm                  
             35             Milimetro por un segundo centimetro                                                                                                                             1/1/2017                                                                                  ml/(cm²·s)                
             37             Onza por pie cuadrado                                                                                                                                           1/1/2017                                                                                    oz/ft²                  
             38             Onzas por pie cuadrado por 0,01 pul                                                                                                                             1/1/2017                                                                                 oz/(ft²/cin)               
             3B             Megajoule                                                                                                                                                       1/1/2017                                                                                      MJ                    
             3C             Manmonth                           Unidad de cuenta que define el número de                                                                                     1/1/2017                                                                   
             3E             Libra por libra de producto                                                 Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             3G             Libra por pieza de producto                                                 Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             3H             Kilogramo por kilogramo de producto                                         Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             3I             Kilogramo por pedazo de producto                                            Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             40             Mililitro por segundo                                                                                                                                           1/1/2017                                                                                     ml/s                   
             41             Mililitro por minuto                                                                                                                                            1/1/2017                                                                                    ml/min                  
             4B             Gorra                                                                       Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             4C             Centistokes                                                                                                                                                     1/1/2017                                                                                      cSt                   
             4E             Veinte pack                                                                 Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             4G             Microlitro                                                                                                                                                      1/1/2017                                                                                      µl                    
             4H             Micra                              El micrómetro, micrón o micra es una unid                                                                                    1/1/2017                                                                                      µm                    
             4K             Miliamperio                                                                                                                                                     1/1/2017                                                                                      mA                    
             4L             Megabyte                           Unidad que se usa para cuantificar un cau                                                                                    1/1/2017                                                                                     Mbyte                  
             4M             Miligramo por hora                                                                                                                                              1/1/2017                                                                                     mg/h                   
             4N             Megabequerel                                                                                                                                                    1/1/2017                                                                                      MBq                   
             4O             Microfaradio                                                                                                                                                    1/1/2017                                                                                      µF                    
             4P             Newton por metro                                                                                                                                                1/1/2017                                                                                      N/m                   
             4Q             Onza pulgada                                                                                                                                                    1/1/2017                                                                                     oz·in                  
             4R             Onza pie                                                                                                                                                        1/1/2017                                                                                     oz·ft                  
             4T             Picofaradio                                                                                                                                                     1/1/2017                                                                                      pF                    
             4U             Libra por hora                                                                                                                                                  1/1/2017                                                                                     lb/h                   
             4W             Tonelada (EUA) por hora                                                                                                                                         1/1/2017                                                                                  ton (US) /h               
             4X             Kilolitro por hora                                                                                                                                              1/1/2017                                                                                     kl/h                   
             56             Sitas                               Unidad de área de placa de estaño igual                                                                                     1/1/2017                                                                   
             57             Malla                              Una unidad de recuento de definir el núme                                                                                    1/1/2017                                                                   
             58              kilogramo neto                    Unidad de masa que define el número total                                                                                    1/1/2017                                                                   
             59             Parte por millón                    Una unidad de proporción igual a 10⁻⁶.                                                                                      1/1/2017                                                                                      ppm                   
             5A             Barril por minuto                                                                                                                                               1/1/2017                                                                                barrel (US)/min             
             5B             Batch                              Unidad de conteo que define el número de                                                                                     1/1/2017                                                                   
             5C             Galón (US) por mil                                                          Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             5E             Mmscf/day                          Unidad de volumen equivalente a un millón                                                                                    1/1/2017                                                                   
             5F             Libra por mil                                                               Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             5G             bomba                                                                       Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             5H             Escenario                                                                   Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             5I             Pies cúbicos estándar              Utilice estándar (código común WSD)      Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                                     Std                   
             5J             Caballos de potencia hidráulica    Unidad de potencia de la definición de lo                                                                                    1/1/2017                                                                   
             5K             Contar por minuto                                                           Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             5P             Nivel sísmico                                                               Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             5Q             Línea sísmica                                                               Las unidades marcadas como borradas en el catálogo internacional de                 7/26/2017                                                                  
             60             Tanto por ciento en peso           Una unidad de proporción igual a 10⁻².                                                                                       1/1/2017                                                                   
             61             Parte por mil millones (EUA)       Una unidad de proporción igual a 10⁻⁹.                                                                                       1/1/2017                                                                                      ppb                   
             74             Milipascal                                                                                                                                                      1/1/2017                                                                                      mPa                   
             77             Mili-pulgada                                                                                                                                                    1/1/2017                                                                                      mil                   
             80             Libra por pulgada cuadrado absoluta                                                                                                                             1/1/2017                                                                                    lb/in²                  
             81             Henry                              Un henry es la unidad para la inductancia                                                                                    1/1/2017                                                                                       H                    
             85             Pie libra-fuerza                                                                                                                                                1/1/2017                                                                                    ft·lbf                  
             87             Libra por pie cúbico                                                                                                                                            1/1/2017                                                                                    lb/ft³                  
             89             Poise                              El poise (símbolo: P) es la unidad de vis                                                                                    1/1/2017                                                                                       P                    
             91             Stokes                             El Stokes es la unidad de viscosidad cine                                                                                    1/1/2017                                                                                      St                    
             A1             15 ° C calorías                                                             Unidades no recomendadas para su uso por la Oficina Internacional de                7/26/2017                                                                                  Cal $ _ $                
            A10             Amperio por metro cuadrado por joul                                                                                                                             1/1/2017                                                                                  A·m²/(J·s)                
            A11             Ángstrom                           El ángstrom es una unidad de longitud emp                                                                                    1/1/2017                                                                                       Å                    
            A12             Unidad astronómica                 Es una unidad de longitud igual por defin                                                                                    1/1/2017                                                                                      ua                    
            A13             Attojoule                           Una unidad SI de la energía, el trabajo,                                                                                    1/1/2017                                                                                      aJ                    
            A14             Barn                               Es una unidad de superficie, equivalente                                                                                     1/1/2017                                                                                       b                    
            A15             Barn por electrovoltio                                                                                                                                          1/1/2017                                                                                     b/eV                   
            A16             Barn por electrovoltio                                                                                                                                          1/1/2017                                                                                   b/(sr·eV)                
            A17             Barn por esteroradian                                                                                                                                           1/1/2017                                                                                     b/sr                   
            A18             Becquerel por kilogramo                                                                                                                                         1/1/2017                                                                                     Bq/kg                  
            A19             Becquerel por metro cúbico                                                                                                                                      1/1/2017                                                                                     Bq/m³                  
             A2             Amperio por centímetro                                                                                                                                          1/1/2017                                                                                     A/cm                   
            A20             Unidad térmica británica (tabla int                                                                                                                             1/1/2017                                                                               BtuIT/(s·ft²·°R)             
            A21             Unidad térmica británica (tabla int                                                                                                                             1/1/2017                                                                                 Btu/IT(lb·°R)              
            A22             Unidad térmica británica (tabla int                                                                                                                             1/1/2017                                                                                BtuIT/(s·ft·°R)             
            A23             Unidad térmica británica (tabla int                                                                                                                             1/1/2017                                                                               BtuIT/(h·ft²·°R)             
            A24             Candela por metro cuadrado                                                                                                                                      1/1/2017                                                                                     cd/m²                  
