Catálogo de tasas o cuo                                                                                                                                     
        Versión                Revisión                                                                                                                     
          1.0                      1                                                                                                                        
                                                                                                                                                            
     Rango o Fijo            c_TasaOCuota                      Impuesto           Factor                 Traslado               Retención        Fecha iniciFecha fin d
                             Valor mínimo        Valor máximo                                                                                               
         Fijo                                     0.000000        IVA              Tasa                     Sí                     No             1/1/2017  
         Fijo                                     0.160000        IVA              Tasa                     Sí                     No             1/1/2017  
         Rango                 0.000000           0.160000        IVA              Tasa                     No                     Sí             1/1/2017  
         Fijo                                     0.265000       IEPS              Tasa                     Sí                     Sí             1/1/2017  
         Fijo                                     0.300000       IEPS              Tasa                     Sí                     Sí             1/1/2017  
         Fijo                                     0.530000       IEPS              Tasa                     Sí                     Sí             1/1/2017  
         Fijo                                     0.500000       IEPS              Tasa                     Sí                     Sí             1/1/2017  
         Fijo                                     1.600000       IEPS              Tasa                     Sí                     Sí             1/1/2017  
         Fijo                                     0.304000       IEPS              Tasa                     Sí                     Sí             1/1/2017  
         Fijo                                     0.250000       IEPS              Tasa                     Sí                     Sí             1/1/2017  
         Fijo                                     0.090000       IEPS              Tasa                     Sí                     Sí             1/1/2017  
         Fijo                                     0.080000       IEPS              Tasa                     Sí                     Sí             1/1/2017  
         Fijo                                     0.070000       IEPS              Tasa                     Sí                     Sí             1/1/2017  
         Fijo                                     0.060000       IEPS              Tasa                     Sí                     Sí             1/1/2017  
         Fijo                                     0.030000       IEPS              Tasa                     Sí                     No             1/1/2017  
         Fijo                                     0.000000       IEPS              Tasa                     Sí                     No             1/1/2017  
         Rango                 0.000000           43.770000      IEPS              Cuota                    Sí                     Sí             1/1/2017  
         Rango                 0.000000           0.350000        ISR              Tasa                     No                     Sí             1/1/2017  
